symbol,timestamp,open,high,low,close
EURUSD=X,2025-04-09,1.10000,1.11000,1.09757,1.10570
EURUSD=X,2025-04-08,1.09577,1.09926,1.09577,1.09926
EURUSD=X,2025-04-07,0.91624,0.91816,0.90979,0.91624
EURUSD=X,2025-04-06,0.91053,0.91726,0.90499,0.91053
EURUSD=X,2025-04-03,0.90539,0.91210,0.90041,0.90555
EURUSD=X,2025-04-02,0.91701,0.91905,0.89846,0.91701
EURUSD=X,2025-04-01,0.92638,0.92750,0.91976,0.92638
EURUSD=X,2025-03-31,0.92439,0.92773,0.92336,0.92439
EURUSD=X,2025-03-30,0.92393,0.92720,0.92184,0.92393
EURUSD=X,2025-03-27,0.92589,0.92887,0.92214,0.92589
EURUSD=X,2025-03-26,0.93101,0.93103,0.92432,0.93101
EURUSD=X,2025-03-25,0.92704,0.92871,0.92576,0.92704
EURUSD=X,2025-03-24,0.92569,0.92781,0.92338,0.92569
EURUSD=X,2025-03-23,0.92296,0.92678,0.92114,0.92296
EURUSD=X,2025-03-20,0.92114,0.92555,0.92089,0.92114
EURUSD=X,2025-03-19,0.91659,0.92441,0.91599,0.91659
EURUSD=X,2025-03-18,0.91433,0.91953,0.91368,0.91433
EURUSD=X,2025-03-17,0.91593,0.91775,0.91294,0.91593
EURUSD=X,2025-03-16,0.91910,0.92010,0.91500,0.91910
EURUSD=X,2025-03-13,0.92130,0.92327,0.91661,0.92130
EURUSD=X,2025-03-12,0.91869,0.92399,0.91767,0.91869
EURUSD=X,2025-03-11,0.91633,0.91935,0.91493,0.91633
EURUSD=X,2025-03-10,0.92268,0.92282,0.91493,0.92268
EURUSD=X,2025-03-09,0.92083,0.92544,0.91978,0.92083
EURUSD=X,2025-03-06,0.92710,0.92754,0.91864,0.92710
EURUSD=X,2025-03-05,0.92645,0.92747,0.92160,0.92645
EURUSD=X,2025-03-04,0.94127,0.94317,0.92720,0.94127
EURUSD=X,2025-03-03,0.95384,0.95502,0.94707,0.95384
EURUSD=X,2025-03-02,0.96037,0.96249,0.95239,0.96037
EURUSD=X,2025-02-27,0.96209,0.96325,0.95969,0.96209
EURUSD=X,2025-02-26,0.95338,0.96122,0.95353,0.95338
EURUSD=X,2025-02-25,0.95056,0.95459,0.95018,0.95056
EURUSD=X,2025-02-24,0.95601,0.95630,0.95077,0.95601
EURUSD=X,2025-02-23,0.95477,0.95661,0.94983,0.95477
EURUSD=X,2025-02-20,0.95240,0.95704,0.95195,0.95240
EURUSD=X,2025-02-19,0.95970,0.95979,0.95441,0.95970
EURUSD=X,2025-02-18,0.95719,0.96115,0.95593,0.95719
EURUSD=X,2025-02-17,0.95384,0.95764,0.95366,0.95384
EURUSD=X,2025-02-16,0.95342,0.95542,0.95186,0.95342
EURUSD=X,2025-02-13,0.95599,0.95715,0.95118,0.95599
EURUSD=X,2025-02-12,0.96228,0.96347,0.95739,0.96228
